FAIL	synth [setup failed]
FAIL	synth/sequencer [setup failed]
FAIL	synth/song [setup failed]
?   	synth/assets	[no test files]
?   	synth/cmd/pulsewave	[no test files]
goos: linux
goarch: amd64
pkg: synth/dsp
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkOscillator_Resolve/Noise-8                 	 2587503	       481.0 ns/op
BenchmarkOscillator_Resolve/Noise-8                 	 2586573	       480.3 ns/op
BenchmarkOscillator_Resolve/Noise-8                 	 2595472	       474.7 ns/op
BenchmarkOscillator_Resolve/Noise-8                 	 2587056	       476.1 ns/op
BenchmarkOscillator_Resolve/Noise-8                 	 2546571	       477.0 ns/op
BenchmarkOscillator_Resolve/Noise-8                 	 2577512	       461.8 ns/op
BenchmarkOscillator_Resolve/Noise-8                 	 2580309	       483.5 ns/op
BenchmarkOscillator_Resolve/Noise-8                 	 2473845	       488.4 ns/op
BenchmarkOscillator_Resolve/Noise-8                 	 2485030	       482.5 ns/op
BenchmarkOscillator_Resolve/Saw-8                   	  948187	      1391 ns/op
BenchmarkOscillator_Resolve/Saw-8                   	  791302	      1389 ns/op
BenchmarkOscillator_Resolve/Saw-8                   	  939120	      1297 ns/op
BenchmarkOscillator_Resolve/Saw-8                   	  852087	      1284 ns/op
BenchmarkOscillator_Resolve/Saw-8                   	  899956	      1262 ns/op
BenchmarkOscillator_Resolve/Saw-8                   	  853932	      1391 ns/op
BenchmarkOscillator_Resolve/Saw-8                   	  851696	      1303 ns/op
BenchmarkOscillator_Resolve/Saw-8                   	  918135	      1298 ns/op
BenchmarkOscillator_Resolve/Saw-8                   	  893144	      1355 ns/op
BenchmarkOscillator_Resolve/Saw-8                   	  841672	      1393 ns/op
PASS
ok  	synth/dsp	138.913s
?   	synth/midi	[no test files]
?   	synth/msg	[no test files]
?   	synth/preset	[no test files]
?   	synth/ui	[no test files]
FAIL
